Timestamp	Function	Params
2025-12-17T00:53:47.043081	start_story	
2025-12-17T00:53:47.043134	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""What happened?""}"
2025-12-17T00:53:47.043201	add_message	"{""from"": ""System"", ""to"": ""User"", ""content"": ""A crisis.""}"
2025-12-17T00:53:47.043250	move_next	"{""finished"": ""1.0"", ""next_is"": [""2.0""]}"
2025-12-17T00:53:47.043289	alternative_branch	"[{""title"": ""Alternative: Flee"", ""choice"": ""Run Away"", ""desc"": ""You ran away.""}, {""title"": ""New Resolution"", ""choice"": ""Safe"", ""desc"": ""You are safe but poor.""}]"
2025-12-17T00:53:47.043382	backtrack_to	"{""target"": ""1.0""}"
2025-12-17T01:28:52.396709	start_story	
2025-12-17T01:29:02.882826	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""aaaa""}"
2025-12-17T01:29:08.506840	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""dfasdfeswa""}"
2025-12-17T01:29:18.307212	move_next	"{""finished"": ""1.0"", ""next_is"": [""2.0""]}"
2025-12-17T01:29:26.928213	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""dddddfse""}"
2025-12-17T01:29:29.835004	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""wersdfe""}"
2025-12-17T01:29:47.781216	add_message	"{""from"": ""User"", ""to"": ""System"", ""content"": ""66666""}"
2025-12-17T01:29:57.040867	alternative_branch	"[{""title"": ""3333"", ""choice"": ""rrr"", ""desc"": ""5555""}]"
2025-12-17T01:30:59.774301	backtrack_to	"{""target"": ""1.0""}"
2025-12-17T01:31:11.350381	alternative_branch	"[{""title"": ""444"", ""choice"": ""555"", ""desc"": ""777""}]"
2025-12-17T01:39:07.145416	start_story	
2025-12-17T01:39:08.632813	move_next	"{""finished"": ""1.0"", ""next_is"": [""2.0""]}"
2025-12-17T01:39:14.690867	alternative_branch	"[{""title"": ""44"", ""choice"": ""33"", ""desc"": ""556""}]"
2025-12-17T01:40:52.043340	start_story	
2025-12-17T01:40:53.572995	move_next	"{""finished"": ""1.0"", ""next_is"": [""2.0""]}"
2025-12-17T01:40:55.278751	move_next	"{""finished"": ""2.0"", ""next_is"": [""3.0""]}"
2025-12-17T01:41:00.518092	alternative_branch	"[{""title"": ""33"", ""choice"": ""22"", ""desc"": ""44""}]"
2025-12-17T01:42:31.288789	backtrack_to	"{""target"": ""4.0""}"
2025-12-17T01:42:35.481721	alternative_branch	"[{""title"": ""rr"", ""choice"": ""ee"", ""desc"": ""tt""}]"
2025-12-17T01:42:44.215855	backtrack_to	"{""target"": ""4.1""}"
